group,activity,rate
KI,B,0.0958719804619953
KI,F,0.0639224855149983
KI,G,0.04960526355421802
KI,K,0.39966216524407394
KI,O,0.039630465238485894
KI,S,0.08681692966485938
KI,V,0.0443828565126045
GS,B,0.17790710586907174
GS,F,0.06626517779172882
GS,G,0.6478890243583636
GS,M,0.022389935808834752
GS,O,0.06538572906742211
GS,S,0.14429009269425216
MS,B,0.10826000261111926
MS,E,0.030941309348449898
MS,F,0.0562829920571502
MS,G,0.05220564528796072
MS,M,0.7546806308589484
MS,O,0.03960114318350233
MS,S,0.08389302121271652
OS,A,0.05715266924126458
OS,B,0.12067486148063
OS,E,0.037035828983552094
OS,F,0.07455480305339697
OS,M,0.41227662772185236
OS,O,0.04959852251764928
OS,R,0.012664437811057645
OS,S,0.1771735523069664
OS,T,0.01240310353512827
OS,V,0.025346181210397722
OS,Z,0.08652409718168999
AZ,A,0.2637374790678354
AZ,B,0.04812102464647024
AZ,E,0.04135914535543643
AZ,F,0.028067509155443964
AZ,O,0.03083006027242982
AZ,S,0.0505964233009483
AZ,V,0.029139638354237777
AZ,Z,0.09622815650494251
ST,A,0.15283142456903195
ST,B,0.09733011304437653
ST,E,0.052824035663695756
ST,F,0.06931008298123624
ST,O,0.10355028166308516
ST,R,0.02716068989399862
ST,S,0.03929324460123748
ST,T,0.01376957095393218
ST,U,0.21654211226022185
NEm,A,0.0634628814650233
NEm,E,0.16115639783605376
NEm,F,0.16196309634424208
NEm,G,0.03919987172403565
NEm,K,0.08959341223433398
NEm,O,0.18960208441218457
NEm,R,0.025679782869408967
NEm,S,0.04797846370867791
NEm,T,0.038677083619157046
NEm,V,0.17386298982543966
EWm,A,0.40723219820238105
EWm,B,0.04074912052331518
EWm,E,0.024088403025904204
EWm,F,0.04167483176416082
EWm,O,0.05091965632918814
EWm,R,0.008786360291026769
EWm,S,0.03274858282558791
EWm,V,0.05157393876437085
RJm,A,0.0487007702895454
RJm,B,0.152293593711815
RJm,E,0.11042551249305298
RJm,F,0.15896656646675889
RJm,O,0.19541201357350757
RJm,R,0.00908799726515264
RJm,S,0.05849501502267712
RJm,T,0.010862064987132802
RJm,V,0.1790090389520176
RAm,A,0.032895740321885227
RAm,B,0.10314015218018324
RAm,E,0.06807562596228946
RAm,F,0.13929935852839417
RAm,O,0.13378763964815468
RAm,R,0.04431430211279241
RAm,S,0.06108033331570143
RAm,T,0.01580227115472879
RAm,V,0.08750690411635502
NEf,A,0.019150067939276774
NEf,B,0.13631244102961457
NEf,E,0.03662238578848933
NEf,F,0.0850948475632153
NEf,G,0.07495671097817863
NEf,K,0.21601100236157095
NEf,M,0.08925666527871105
NEf,O,0.14385435531873675
NEf,R,0.017322427427594003
NEf,S,0.11160614865961668
NEf,V,0.11720840428424369
EWf,A,0.3489196015440619
EWf,B,0.06305762822611606
EWf,E,0.030179409784356154
EWf,F,0.05445202171877187
EWf,G,0.024679664736304112
EWf,K,0.0514766368689225
EWf,O,0.07133152371380838
EWf,R,0.005206810163693733
EWf,S,0.02969154231318901
EWf,T,0.014212113722284335
EWf,V,0.07227512861637687
RJf,A,0.03054148560529088
RJf,B,0.14102862286311305
RJf,E,0.07795164595945155
RJf,F,0.13061666393960242
RJf,O,0.14415935262315854
RJf,R,0.01464553935770598
RJf,S,0.044071128743558424
RJf,T,0.019144812446555762
RJf,V,0.18401753648578528
RAf,B,0.0982996462477979
RAf,E,0.07064596101719886
RAf,F,0.04159693606375688
RAf,O,0.07587596524235204
RAf,R,0.030563562177897817
RAf,S,0.03881815105285304
RAf,T,0.023034782170292013
RAf,V,0.1516345295643809
